kSlideV,boundaryA,emfAlpha,reliableSamples,holdSpeedRmseRpm,holdAngleRmseRad,peakIqA
2,0.016,0.4,0,287.149177255634,0.254682938522812,0.198865214536516
2,0.016,0.6,0,387.494990703436,0.29392141963615,0.198865214536516
2,0.016,0.8,0,602.667085930747,1.4980089534641,0.198865214536516
2,0.032,0.05,10883,24.5763115732483,0.424693257143294,0.198865214536516
2,0.032,0.1,10883,44.4520428090323,0.30832173889278,0.198865214536516
2,0.032,0.2,9347,94.4824889756022,0.255428226114552,0.198865214536516
2,0.032,0.4,0,251.220473927612,0.240950235989375,0.198865214536516
2,0.032,0.6,0,369.569966444014,0.313399404655533,0.198865214536516
2,0.032,0.8,0,431.933917584214,0.5488284843365,0.198865214536516
2,0.064,0.05,10883,17.7266800967907,0.423990329633268,0.198865214536516
2,0.064,0.1,10883,35.503405914577,0.310268420318338,0.198865214536516
2,0.064,0.2,10915,4.83341159958729,0.253801947109468,0.198865214536516
2,0.064,0.4,10915,5.22065562108728,0.226510456391106,0.198865214536516
2,0.064,0.6,10915,7.13296948348461,0.218243824716414,0.198865214536516
2,0.064,0.8,0,394.720664567691,0.421984208949631,0.198865214536516
2,0.128,0.05,10899,4.22248319869602,0.439970552353062,0.198865214536516
2,0.128,0.1,10899,4.37064302957273,0.321134105526498,0.198865214536516
2,0.128,0.2,10915,4.4901247482606,0.261526619408001,0.198865214536516
2,0.128,0.4,10915,4.6555759483104,0.232271228377351,0.198865214536516
2,0.128,0.6,10915,4.80726290044033,0.222714789111603,0.198865214536516
2,0.128,0.8,10915,5.07730919073999,0.218104890706627,0.198865214536516
3,0.016,0.05,10723,51.3097382375665,0.417481316483457,0.198865214536516
3,0.016,0.1,10371,88.570692914066,0.296654068242213,0.198865214536516
3,0.016,0.2,720,192.664566497468,0.25563629904167,0.198865214536516
3,0.016,0.4,0,372.52055428244,0.273769554382922,0.198865214536516
3,0.016,0.6,0,485.153581548948,1.04616485224147,0.198865214536516
3,0.016,0.8,0,720.697194138753,1.77864769315193,0.198865214536516
3,0.032,0.05,10723,46.1896062546708,0.423057821042792,0.198865214536516
3,0.032,0.1,10563,81.9622162983358,0.306158195005959,0.198865214536516
3,0.032,0.2,3408,174.668023550284,0.266277018507203,0.198865214536516
3,0.032,0.4,0,363.236833444292,0.270405272285633,0.198865214536516
3,0.032,0.6,0,432.008218461884,0.333201368628666,0.198865214536516
3,0.032,0.8,0,721.775734232077,1.77538888406698,0.198865214536516
3,0.064,0.05,10803,35.350938823139,0.426568305845316,0.198865214536516
3,0.064,0.1,10739,67.6165691610399,0.308782645394859,0.198865214536516
3,0.064,0.2,6883,150.114411846753,0.256297754466862,0.198865214536516
3,0.064,0.4,0,274.726963217664,0.333122037668613,0.198865214536516
3,0.064,0.6,10595,55.5571033088373,0.237439796464016,0.198865214536516
3,0.064,0.8,0,724.516365892006,1.80628853002427,0.198865214536516
3,0.128,0.05,10899,4.23695589783584,0.427990706889065,0.198865214536516
3,0.128,0.1,10899,4.38915122348312,0.313627582202563,0.198865214536516
3,0.128,0.2,10915,4.53373924534182,0.256423962237966,0.198865214536516
3,0.128,0.4,10915,4.77866086136911,0.228414134844894,0.198865214536516
3,0.128,0.6,10915,5.1875975347869,0.219401500956104,0.198865214536516
3,0.128,0.8,10915,20.845573894455,0.213552448765911,0.198865214536516
6,0.016,0.05,7011,251.791779648956,0.737610901495469,0.198865214536516
6,0.016,0.1,0,339.376705076283,0.953315113328208,0.198865214536516
6,0.016,0.2,0,490.263934029896,1.21254664476083,0.198865214536516
6,0.016,0.4,0,462.665334411281,0.549234236750295,0.198865214536516
6,0.016,0.6,0,723.88472163717,1.81048958452604,0.198865214536516
6,0.016,0.8,0,714.339473880265,1.80842806934945,0.198865214536516
6,0.032,0.05,7171,236.221398967252,0.689020046208553,0.198865214536516
6,0.032,0.1,0,350.972159021973,0.97505268280388,0.198865214536516
6,0.032,0.2,0,426.827496060008,0.987211902724747,0.198865214536516
6,0.032,0.4,0,460.996984783976,0.664181039714934,0.198865214536516
6,0.032,0.6,0,724.612576053094,1.80150103261717,0.198865214536516
6,0.032,0.8,0,713.788659891137,1.80034366252097,0.198865214536516
6,0.064,0.05,7955,215.52075040383,0.672625187284225,0.198865214536516
6,0.064,0.1,0,344.545688928659,0.971751855777023,0.198865214536516
6,0.064,0.2,0,476.948986627801,1.26091428256413,0.198865214536516
6,0.064,0.4,0,466.871443077303,0.899822441165328,0.198865214536516
6,0.064,0.6,0,711.966135800285,1.81205262921543,0.198865214536516
6,0.064,0.8,0,714.418096941103,1.7941794718422,0.198865214536516
6,0.128,0.05,9139,95.8686442551412,0.436252688706147,0.198865214536516
6,0.128,0.1,0,264.574795608316,0.732598080659816,0.198865214536516
6,0.128,0.2,0,486.614332763754,1.30611934394683,0.198865214536516
6,0.128,0.4,0,556.203025387583,1.46779111372375,0.198865214536516
6,0.128,0.6,10563,63.1795963185444,0.246149466432862,0.198865214536516
6,0.128,0.8,0,725.049465913366,1.8156182802786,0.198865214536516
11.7,0.016,0.05,0,665.339953599451,1.83218974864075,0.198865214536516
11.7,0.016,0.1,0,676.681029676274,1.83740618341853,0.198865214536516
11.7,0.016,0.2,0,715.503272238169,1.82735617799988,0.198865214536516
11.7,0.016,0.4,0,693.60148962089,1.81322349047443,0.198865214536516
11.7,0.016,0.6,0,706.314025097515,1.79676964709275,0.198865214536516
11.7,0.016,0.8,0,719.444789755576,1.81544399108171,0.198865214536516
11.7,0.032,0.05,0,683.9757725304,1.80998017147277,0.198865214536516
11.7,0.032,0.1,0,683.06169892057,1.81491344244774,0.198865214536516
11.7,0.032,0.2,0,697.354353184755,1.82693747186663,0.198865214536516
11.7,0.032,0.4,0,706.507077742742,1.81048098836635,0.198865214536516
11.7,0.032,0.6,0,715.349761568774,1.82202629709169,0.198865214536516
11.7,0.032,0.8,0,679.007322723591,1.81061953665688,0.198865214536516
11.7,0.064,0.05,0,686.760337376822,1.80690855344082,0.198865214536516
11.7,0.064,0.1,0,681.737493067941,1.80993879564797,0.198865214536516
11.7,0.064,0.2,0,680.797119210143,1.8102623319149,0.198865214536516
11.7,0.064,0.4,0,713.36656814993,1.81768395252175,0.198865214536516
11.7,0.064,0.6,0,732.036457248614,1.80498333631834,0.198865214536516
11.7,0.064,0.8,0,679.012468905676,1.81062476974361,0.198865214536516
11.7,0.128,0.05,0,674.82873447934,1.7946837234377,0.198865214536516
11.7,0.128,0.1,0,684.568546516358,1.8087426579328,0.198865214536516
11.7,0.128,0.2,0,681.30862980406,1.81014697047923,0.198865214536516
11.7,0.128,0.4,0,689.859907366941,1.81639098183776,0.198865214536516
11.7,0.128,0.6,0,717.250260224408,1.7986597016041,0.198865214536516
11.7,0.128,0.8,0,719.418997022616,1.81289618981531,0.198865214536516
